Team_ID,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
1103,0,0,0,0,0,0
1112,1,1,1,0,0,0
1125,1,0,0,0,0,0
1131,0,0,0,0,0,0
1137,0,0,0,0,0,0
1139,1,0,0,0,0,0
1140,0,0,0,0,0,0
1153,1,1,0,0,0,0
1155,0,0,0,0,0,0
1163,1,0,0,0,0,0
1181,1,1,1,1,0,0
1196,0,0,0,0,0,0
1199,1,1,0,0,0,0
1206,0,0,0,0,0,0
1207,1,0,0,0,0,0
1208,0,0,0,0,0,0
1211,0,0,0,0,0,0
1214,1,0,0,0,0,0
1228,1,1,0,0,0,0
1232,0,0,0,0,0,0
1242,1,1,1,1,1,0
1243,0,0,0,0,0,0
1246,1,0,0,0,0,0
1254,0,0,0,0,0,0
1257,1,0,0,0,0,0
1266,0,0,0,0,0,0
1272,0,0,0,0,0,0
1276,1,1,1,0,0,0
1277,1,1,0,0,0,0
1281,0,0,0,0,0,0
1287,1,0,0,0,0,0
1294,0,0,0,0,0,0
1314,1,1,0,0,0,0
1323,0,0,0,0,0,0
1324,0,0,0,0,0,0
1326,1,0,0,0,0,0
1330,1,0,0,0,0,0
1336,0,0,0,0,0,0
1338,1,1,1,0,0,0
1343,0,0,0,0,0,0
1345,1,0,0,0,0,0
1350,0,0,0,0,0,0
1361,1,1,1,1,1,1
1364,0,0,0,0,0,0
1385,1,0,0,0,0,0
1389,0,0,0,0,0,0
1393,1,1,0,0,0,0
1396,0,0,0,0,0,0
1397,0,0,0,0,0,0
1400,1,1,1,0,0,0
1401,1,0,0,0,0,0
1417,0,0,0,0,0,0
1421,0,0,0,0,0,0
1424,1,1,0,0,0,0
1427,1,0,0,0,0,0
1429,0,0,0,0,0,0
1433,1,0,0,0,0,0
1435,0,0,0,0,0,0
1437,1,1,0,0,0,0
1449,0,0,0,0,0,0
1452,0,0,0,0,0,0
1458,1,1,1,1,0,0
1459,0,0,0,0,0,0
1462,1,0,0,0,0,0
